Date;SunshineTime;System Production (Wh)
2017-12-01;0;646
2017-12-02;0;596
2017-12-03;2,38;2248
2017-12-04;5,91;1497
2017-12-05;0;1019
2017-12-06;0;101
2017-12-07;0;20
2017-12-08;0;1053
2017-12-09;0,69;1712
2017-12-10;0,72;1363
2017-12-11;0,95;0
2017-12-12;1,68;0
2017-12-13;0;90
2017-12-14;0;134
2017-12-15;0;372
2017-12-16;0,51;61
2017-12-17;5,81;75
2017-12-18;0;344
2017-12-19;0,88;1279
2017-12-20;0;105
2017-12-21;1,88;1452
2017-12-22;1,01;1420
2017-12-23;0;296
2017-12-24;0;137
2017-12-25;0;109
2017-12-26;0;33
2017-12-27;0;700
2017-12-28;0;681
2017-12-29;0,45;1214
2017-12-30;0;325
2017-12-31;0;60
2018-01-01;0;103
2018-01-02;3,7;1628
2018-01-03;0;127
2018-01-04;0,2;814
2018-01-05;0;1166
2018-01-06;0,38;1335
2018-01-07;6,19;1382
2018-01-08;2,8;1903
2018-01-09;6,47;1686
2018-01-10;0;64
2018-01-11;0;477
2018-01-12;0;422
2018-01-13;0;74
2018-01-14;0;110
2018-01-15;0;152
2018-01-16;0;1464
2018-01-17;0,2;1680
2018-01-18;0;878
2018-01-19;6,65;2794
2018-01-20;0;904
2018-01-21;0;1186
2018-01-22;0;1496
2018-01-23;0;198
2018-01-24;0;99
2018-01-25;0;309
2018-01-26;0;1837
2018-01-27;4,29;3757
2018-01-28;0;776
2018-01-29;0;900
2018-01-30;4,23;4063
2018-01-31;0;248
2018-02-01;0,31;4278
2018-02-02;0,04;2713
2018-02-03;0;2954
2018-02-04;0,16;2636
2018-02-05;8,02;4979
2018-02-06;0;704
2018-02-07;0;644
2018-02-08;1,03;4485
2018-02-09;3,92;6009
2018-02-10;1,3;2887
2018-02-11;0;2208
2018-02-12;0,05;1175
2018-02-13;0,03;2773
2018-02-14;4,63;7828
2018-02-15;0,63;6283
2018-02-16;0,32;2238
2018-02-17;0,89;4022
2018-02-18;0;3800
2018-02-19;0;14
2018-02-20;1,64;1602
2018-02-21;0;10
2018-02-22;2,19;7
2018-02-23;0;0
2018-02-24;7,72;129
2018-02-25;9,47;405
2018-02-26;9,69;1206
2018-02-27;7,29;1941
2018-02-28;7,13;2467
2018-03-01;5,53;2813
2018-03-02;1,35;2143
2018-03-03;0,06;3308
2018-03-04;0,44;5998
2018-03-05;0;2565
2018-03-06;0;169
2018-03-07;5,13;9296
2018-03-08;0;1
2018-03-09;0;96
2018-03-10;2,76;447
2018-03-11;0;404
2018-03-12;0;3910
2018-03-13;0;3678
2018-03-14;5,27;5462
2018-03-15;2,64;9529
2018-03-16;10,85;18411
2018-03-17;11,41;20928
2018-03-18;11,67;20243
2018-03-19;4,18;16489
2018-03-20;11,64;19172
2018-03-21;4,3;16355
2018-03-22;0;3558
2018-03-23;0;3935
2018-03-24;0;1829
2018-03-25;7,24;9833
2018-03-26;0;8131
2018-03-27;0,37;7147
2018-03-28;11,59;25934
2018-03-29;9,69;24398
2018-03-30;12,28;25195
2018-03-31;10,81;24521
2018-04-01;9,24;20345
2018-04-02;12,33;26543
2018-04-03;0,02;4987
2018-04-04;1,63;18290
2018-04-05;0,37;9635
2018-04-06;12,81;28756
2018-04-07;7,63;23720
2018-04-08;10,43;26774
2018-04-09;5,62;20973
2018-04-10;7,18;25060
2018-04-11;11,43;29609
2018-04-12;11,32;27990
2018-04-13;12,01;27786
2018-04-14;6,55;16766
2018-04-15;0,54;2189
2018-04-16;1,41;14917
2018-04-17;0,43;9260
2018-04-18;5,51;25059
2018-04-19;5,05;17870
2018-04-20;12,77;31552
2018-04-21;14,1;32945
2018-04-22;8,87;23386
2018-04-23;3,12;15348
2018-04-24;0;9678
2018-04-25;5,66;22855
2018-04-26;0,53;17417
2018-04-27;4,5;28664
2018-04-28;3,78;23523
2018-04-29;4,35;27809
2018-04-30;0,11;17915
2018-05-01;1,17;9407
2018-05-02;10,99;35255
2018-05-03;7,59;21817
2018-05-04;9,22;32772
2018-05-05;10,55;32926
2018-05-06;13,32;35981
2018-05-07;15,1;35774
2018-05-08;15,08;35320
2018-05-09;15,34;35982
2018-05-10;13,12;36537
2018-05-11;10,24;30684
2018-05-12;11,26;38257
2018-05-13;7,19;28364
2018-05-14;13,28;34788
2018-05-15;15,42;37324
2018-05-16;11,18;38022
2018-05-17;9,38;33314
2018-05-18;14,35;32291
2018-05-19;15,67;38879
2018-05-20;12,38;37865
2018-05-21;12,73;33577
2018-05-22;15,78;36053
2018-05-23;15,72;38542
2018-05-24;15,77;38517
2018-05-25;14,07;35065
2018-05-26;12,09;30468
2018-05-27;3,73;8510
2018-05-28;2,43;13350
2018-05-29;4,24;30491
2018-05-30;15,84;38741
2018-05-31;16,01;39926
2018-06-01;16,04;39611
2018-06-02;15,76;39322
2018-06-03;15,79;39008
2018-06-04;10,6;32613
2018-06-05;16,3;41935
2018-06-06;8,32;31102
2018-06-07;15,62;36028
2018-06-08;16,29;38957
2018-06-09;13,63;32774
2018-06-10;5,14;23867
2018-06-11;0,68;10238
2018-06-12;10,32;32978
2018-06-13;14,54;40037
2018-06-14;2,34;20981
2018-06-15;8,02;40041
2018-06-16;7,88;28093
2018-06-17;2,36;22510
2018-06-18;2,94;22782
2018-06-19;7,53;35380
2018-06-20;2,3;8142
2018-06-21;3,26;34957
2018-06-22;9,84;37695
2018-06-23;13,92;42683
2018-06-24;16,11;41592
2018-06-25;10,61;35977
