Day;Month;Year;SolarHours;EnergyProduction
1;12;2017;0;646
2;12;2017;0;596
3;12;2017;2,38;2248
4;12;2017;5,91;1497
5;12;2017;0;1019
6;12;2017;0;101
7;12;2017;0;20
8;12;2017;0;1053
9;12;2017;0,69;1712
10;12;2017;0,72;1363
11;12;2017;0,95;0
12;12;2017;1,68;0
13;12;2017;0;90
14;12;2017;0;134
15;12;2017;0;372
16;12;2017;0,51;61
17;12;2017;5,81;75
18;12;2017;0;344
19;12;2017;0,88;1279
20;12;2017;0;105
21;12;2017;1,88;1452
22;12;2017;1,01;1420
23;12;2017;0;296
24;12;2017;0;137
25;12;2017;0;109
26;12;2017;0;33
27;12;2017;0;700
28;12;2017;0;681
29;12;2017;0,45;1214
30;12;2017;0;325
31;12;2017;0;60
1;1;2018;0;103
2;1;2018;3,7;1628
3;1;2018;0;127
4;1;2018;0,2;814
5;1;2018;0;1166
6;1;2018;0,38;1335
7;1;2018;6,19;1382
8;1;2018;2,8;1903
9;1;2018;6,47;1686
10;1;2018;0;64
11;1;2018;0;477
12;1;2018;0;422
13;1;2018;0;74
14;1;2018;0;110
15;1;2018;0;152
16;1;2018;0;1464
17;1;2018;0,2;1680
18;1;2018;0;878
19;1;2018;6,65;2794
20;1;2018;0;904
21;1;2018;0;1186
22;1;2018;0;1496
23;1;2018;0;198
24;1;2018;0;99
25;1;2018;0;309
26;1;2018;0;1837
27;1;2018;4,29;3757
28;1;2018;0;776
29;1;2018;0;900
30;1;2018;4,23;4063
31;1;2018;0;248
1;2;2018;0,31;4278
2;2;2018;0,04;2713
3;2;2018;0;2954
4;2;2018;0,16;2636
5;2;2018;8,02;4979
6;2;2018;0;704
7;2;2018;0;644
8;2;2018;1,03;4485
9;2;2018;3,92;6009
10;2;2018;1,3;2887
11;2;2018;0;2208
12;2;2018;0,05;1175
13;2;2018;0,03;2773
14;2;2018;4,63;7828
15;2;2018;0,63;6283
16;2;2018;0,32;2238
17;2;2018;0,89;4022
18;2;2018;0;3800
19;2;2018;0;14
20;2;2018;1,64;1602
21;2;2018;0;10
22;2;2018;2,19;7
23;2;2018;0;0
24;2;2018;7,72;129
25;2;2018;9,47;405
26;2;2018;9,69;1206
27;2;2018;7,29;1941
28;2;2018;7,13;2467
1;3;2018;5,53;2813
2;3;2018;1,35;2143
3;3;2018;0,06;3308
4;3;2018;0,44;5998
5;3;2018;0;2565
6;3;2018;0;169
7;3;2018;5,13;9296
8;3;2018;0;1
9;3;2018;0;96
10;3;2018;2,76;447
11;3;2018;0;404
12;3;2018;0;3910
13;3;2018;0;3678
14;3;2018;5,27;5462
15;3;2018;2,64;9529
16;3;2018;10,85;18411
17;3;2018;11,41;20928
18;3;2018;11,67;20243
19;3;2018;4,18;16489
20;3;2018;11,64;19172
21;3;2018;4,3;16355
22;3;2018;0;3558
23;3;2018;0;3935
24;3;2018;0;1829
25;3;2018;7,24;9833
26;3;2018;0;8131
27;3;2018;0,37;7147
28;3;2018;11,59;25934
29;3;2018;9,69;24398
30;3;2018;12,28;25195
31;3;2018;10,81;24521
1;4;2018;9,24;20345
2;4;2018;12,33;26543
3;4;2018;0,02;4987
4;4;2018;1,63;18290
5;4;2018;0,37;9635
6;4;2018;12,81;28756
7;4;2018;7,63;23720
8;4;2018;10,43;26774
9;4;2018;5,62;20973
10;4;2018;7,18;25060
11;4;2018;11,43;29609
12;4;2018;11,32;27990
13;4;2018;12,01;27786
14;4;2018;6,55;16766
15;4;2018;0,54;2189
16;4;2018;1,41;14917
17;4;2018;0,43;9260
18;4;2018;5,51;25059
19;4;2018;5,05;17870
20;4;2018;12,77;31552
21;4;2018;14,1;32945
22;4;2018;8,87;23386
23;4;2018;3,12;15348
24;4;2018;0;9678
25;4;2018;5,66;22855
26;4;2018;0,53;17417
27;4;2018;4,5;28664
28;4;2018;3,78;23523
29;4;2018;4,35;27809
30;4;2018;0,11;17915
1;5;2018;1,17;9407
2;5;2018;10,99;35255
3;5;2018;7,59;21817
4;5;2018;9,22;32772
5;5;2018;10,55;32926
6;5;2018;13,32;35981
7;5;2018;15,1;35774
8;5;2018;15,08;35320
9;5;2018;15,34;35982
10;5;2018;13,12;36537
11;5;2018;10,24;30684
12;5;2018;11,26;38257
13;5;2018;7,19;28364
14;5;2018;13,28;34788
15;5;2018;15,42;37324
16;5;2018;11,18;38022
17;5;2018;9,38;33314
18;5;2018;14,35;32291
19;5;2018;15,67;38879
20;5;2018;12,38;37865
21;5;2018;12,73;33577
22;5;2018;15,78;36053
23;5;2018;15,72;38542
24;5;2018;15,77;38517
25;5;2018;14,07;35065
26;5;2018;12,09;30468
27;5;2018;3,73;8510
28;5;2018;2,43;13350
29;5;2018;4,24;30491
30;5;2018;15,84;38741
31;5;2018;16,01;39926
1;6;2018;16,04;39611
2;6;2018;15,76;39322
3;6;2018;15,79;39008
4;6;2018;10,6;32613
5;6;2018;16,3;41935
6;6;2018;8,32;31102
7;6;2018;15,62;36028
8;6;2018;16,29;38957
9;6;2018;13,63;32774
10;6;2018;5,14;23867
11;6;2018;0,68;10238
12;6;2018;10,32;32978
13;6;2018;14,54;40037
14;6;2018;2,34;20981
15;6;2018;8,02;40041
16;6;2018;7,88;28093
17;6;2018;2,36;22510
18;6;2018;2,94;22782
19;6;2018;7,53;35380
20;6;2018;2,3;8142
21;6;2018;3,26;34957
22;6;2018;9,84;37695
23;6;2018;13,92;42683
24;6;2018;16,11;41592
25;6;2018;10,61;35977
26;6;2018;16,28;38832
27;6;2018;14,87;38905
28;6;2018;16,38;39635
29;6;2018;16,44;40883
30;6;2018;16,53;39742
1;7;2018;16,51;39466
2;7;2018;16,5;41257
3;7;2018;16,42;40937
4;7;2018;15,84;40080
5;7;2018;8,75;36687
6;7;2018;12,5;25776
7;7;2018;11,67;34870
8;7;2018;15,65;39063
9;7;2018;8,89;35868
10;7;2018;10,82;25185
11;7;2018;8,66;32032
12;7;2018;11,9;27411
13;7;2018;16,01;38283
14;7;2018;4,02;17955
15;7;2018;4,58;21893
16;7;2018;12,69;37472
17;7;2018;5,7;24039
18;7;2018;2,93;15496
19;7;2018;13,34;37079
20;7;2018;15,39;37446
21;7;2018;11,18;33407
22;7;2018;6,21;30902
23;7;2018;8,42;27514
24;7;2018;8,72;19595
25;7;2018;15,68;33807
26;7;2018;15,68;35420
27;7;2018;12,89;33533
28;7;2018;8,57;22644
29;7;2018;11,36;34337
30;7;2018;4,81;27072
31;7;2018;9,05;31733
1;8;2018;7,26;22553
2;8;2018;13,74;33080
3;8;2018;9,44;32839
4;8;2018;10,21;28702
