Day;Month;Year;SolarHours;AverageTemperatur;Rain;AverageAirPressure;AverageHumidity;EnergyProduction
1;12;2017;0;1.6875;0;1016.0375;89.25;646
2;12;2017;0;5.025;4.2;1015.8625;89.83333333;596
3;12;2017;2.38;6.416666667;0;1009.345833;77.875;2248
4;12;2017;5.91;4.5625;0.4;1016.404167;75.375;1497
5;12;2017;0;7.2875;3.1;1012.404167;90.95833333;1019
6;12;2017;0;7.720833333;5.9;1008.833333;94.29166667;101
7;12;2017;0;7.425;2.6;995.4;92.625;20
8;12;2017;0;5.608333333;0;986.1375;79.45833333;1053
9;12;2017;0.69;5.316666667;0.3;988.9291667;67.33333333;1712
10;12;2017;0.72;2.654166667;5.7;986.7625;86.33333333;1363
11;12;2017;0.95;0.954166667;3.9;989.7375;89.625;0
12;12;2017;1.68;1.804166667;0.6;994.0875;85.91666667;0
13;12;2017;0;4.15;10.1;992.3625;89.29166667;90
14;12;2017;0;2.454166667;8.7;980.0416667;95;134
15;12;2017;0;2.604166667;1.5;989.75;86.04166667;372
16;12;2017;0.51;0.829166667;0.8;1001.008333;89.45833333;61
17;12;2017;5.81;1.204166667;0;1015.270833;86.70833333;75
18;12;2017;0;4.058333333;0.7;1019.808333;90.79166667;344
19;12;2017;0.88;3.6375;1.1;1027.108333;96.625;1279
20;12;2017;0;5.408333333;0;1024.891667;100;105
21;12;2017;1.88;5.566666667;0;1022.929167;89.5;1452
22;12;2017;1.01;5.5875;3.4;1022.5;85.16666667;1420
23;12;2017;0;7.775;0;1005.704167;91.5;296
24;12;2017;0;6.466666667;16.6;1003.125;93.83333333;137
25;12;2017;0;6.520833333;4.7;999.1708333;98.70833333;109
26;12;2017;0;5.804166667;1.2;986.325;89.41666667;33
27;12;2017;0;4.833333333;9.4;985.8041667;88.83333333;700
28;12;2017;0;4.679166667;2.6;986.2208333;92.16666667;681
29;12;2017;0.45;4.2875;0.2;993.65;87.79166667;1214
30;12;2017;0;3.320833333;11.3;995.1833333;88.375;325
31;12;2017;0;4.258333333;10.8;992.575;93.54166667;60
1;1;2018;0;5.275;10.8;987.2833333;94.58333333;103
2;1;2018;3.7;5.341666667;0;996.7666667;91.75;1628
3;1;2018;0;3.858333333;6.1;984.1333333;91.75;127
4;1;2018;0.2;3.029166667;0.1;986.2166667;88.91666667;814
5;1;2018;0;2.45;0.6;991.0833333;89.29166667;1166
6;1;2018;0.38;0.116666667;0;1008.958333;76.75;1335
7;1;2018;6.19;1.145833333;0;1028.35;71.91666667;1382
8;1;2018;2.8;3.45;0;1033.454167;92.83333333;1903
9;1;2018;6.47;2.475;0;1027.1625;76.375;1686
10;1;2018;0;3.433333333;9.2;1016.15;85.20833333;64
11;1;2018;0;2.475;0.3;1022.8625;93.70833333;477
12;1;2018;0;1.3625;0;1034.875;86.83333333;422
13;1;2018;0;0.979166667;0;1036.35;74.95833333;74
14;1;2018;0;0.154166667;0;1029.854167;71.625;110
15;1;2018;0;1;4.9;1005.258333;87.5;152
16;1;2018;0;2.6625;1.8;980.3875;94.79166667;1464
17;1;2018;0.2;2.470833333;0;986.8041667;92.33333333;1680
18;1;2018;0;1.295833333;3;992.2083333;91.54166667;878
19;1;2018;6.65;0.716666667;1.1;1001.254167;86.04166667;2794
20;1;2018;0;0.958333333;1.3;1003.245833;95.95833333;904
21;1;2018;0;0.970833333;0;1013.1875;90.33333333;1186
22;1;2018;0;0.845833333;0;1012.7625;85.16666667;1496
23;1;2018;0;1.858333333;13.1;1012.833333;90.20833333;198
24;1;2018;0;5.166666667;3.9;998.2125;96.83333333;99
25;1;2018;0;4.770833333;0;1002.2125;91.70833333;309
26;1;2018;0;4.245833333;0;1013.858333;94.54166667;1837
27;1;2018;4.29;3.083333333;5.1;1018.975;89.54166667;3757
28;1;2018;0;5.354166667;9.1;1006.175;87.125;776
29;1;2018;0;4.4125;6.7;1003.025;93.08333333;900
30;1;2018;4.23;4.233333333;2;1011.970833;88.33333333;4063
31;1;2018;0;3.754166667;4.6;995.05;92.33333333;248
1;2;2018;0.31;3.604166667;0;988.3625;89.66666667;4278
2;2;2018;0.04;-0.941666667;0.5;1002.708333;82.54166667;2713
3;2;2018;0;-2.166666667;0;1008.745833;83.58333333;2954
4;2;2018;0.16;-2.408333333;0;1027.483333;78.08333333;2636
5;2;2018;8.02;-4.654166667;0;1032.883333;78.875;4979
6;2;2018;0;-2.958333333;0.1;1018.208333;75.16666667;704
7;2;2018;0;0.375;0;1014.275;87.45833333;644
8;2;2018;1.03;1.779166667;0;1016.4;89.70833333;4485
9;2;2018;3.92;0.766666667;0;1015.691667;75.20833333;6009
10;2;2018;1.3;0.583333333;0;1013.341667;79.58333333;2887
11;2;2018;0;0.766666667;4.5;996.1458333;86.95833333;2208
